EmployeeID;Attrition;Age;DistanceFromHome;MonthlyIncome;NumCompaniesWorked;PercentSalaryHike;TotalWorkingYears;TrainingTimesLastYear;YearsAtCompany;YearsSinceLastPromotion;YearsWithCurrManager;EnvironmentSatisfaction;JobSatisfaction;WorkLifeBalance;AverageDailyHours;BusinessTravel_NonTravel;BusinessTravel_Frequently;MS_Divorced;MS_Married
21;0;26;1;104470;1;18;6;3;6;1;4;3;2;1;6;0;1;1;0
22;0;50;8;96670;3;22;28;2;10;1;6;1;2;2;5;0;0;1;0
23;0;53;11;21480;3;11;21;2;5;1;3;3;3;2;7;0;0;0;1
24;0;42;4;89260;1;14;11;4;20;9;6;2;3;3;5;0;0;0;1
25;0;29;16;65130;1;11;10;2;10;0;9;2;4;2;5;0;1;0;0
26;0;54;1;67990;3;11;12;2;10;0;8;2;4;3;8;0;0;0;1
27;0;26;9;162910;1;22;5;3;5;3;3;1;1;3;9;0;1;0;1
28;0;37;5;27050;1;11;17;2;17;5;7;4;4;3;6;0;0;0;0
29;0;44;1;103330;3;14;19;2;1;0;0;4;3;1;9;0;1;1;0
30;0;38;2;44480;8;12;10;3;2;1;2;4;4;3;5;0;0;1;0
31;0;26;4;68540;2;11;5;5;3;0;2;1;2;3;8;0;0;1;0
32;0;28;7;96370;1;13;5;5;5;0;2;4;4;3;5;0;0;0;0
33;0;49;1;35910;8;13;22;2;3;1;2;3;1;3;9;0;1;0;0
34;0;36;5;54050;4;14;10;2;8;7;7;3;2;3;5;0;0;0;0
35;0;31;9;46840;1;16;2;4;2;2;2;4;2;2;5;0;1;1;0
36;1;26;8;157870;1;12;8;5;8;7;4;4;4;3;8;0;0;0;0
37;1;37;9;20976;1;14;4;3;4;1;2;2;4;2;8;0;1;0;1
38;0;42;2;29560;5;13;23;2;20;4;8;3;2;4;5;0;1;0;1
39;0;24;1;23350;1;14;1;3;1;0;0;3;3;3;5;0;0;0;0
40;0;35;20;51540;0;19;12;2;11;6;9;3;2;2;6;0;0;0;1
41;0;36;8;69620;4;12;4;2;1;0;0;3;4;3;6;0;1;0;1
42;0;51;2;56750;5;13;13;2;4;1;2;4;2;3;6;0;0;1;0
43;0;41;26;23790;1;12;22;5;20;0;4;4;2;3;6;0;0;0;0
44;0;24;7;38120;1;15;1;3;1;0;0;4;3;3;6;0;0;0;0
45;0;28;9;46480;0;22;9;2;8;0;7;2;1;3;6;0;0;0;0
46;0;31;8;29360;4;12;10;2;8;7;7;2;4;2;6;0;0;0;1
47;0;39;5;21050;0;20;19;3;18;3;7;3;4;2;6;0;0;1;0
48;0;36;5;85780;7;21;11;4;9;0;8;2;2;3;6;1;0;0;1
49;0;32;2;27060;1;21;13;4;13;4;8;4;3;2;5;0;0;0;1
50;0;38;5;63840;3;19;19;4;10;0;1;1;2;3;5;0;0;0;1
51;0;54;2;39680;2;13;12;3;5;1;2;4;3;3;9;1;0;1;0
52;1;31;20;99070;0;13;6;3;5;0;3;3;4;3;7;0;0;0;1
53;0;31;7;132250;3;21;9;2;2;1;0;1;1;3;5;0;0;0;1
54;0;45;3;35400;1;13;24;5;20;9;10;1;1;3;6;0;1;1;0
55;1;31;16;28040;0;19;3;1;2;2;2;3;4;1;7;0;0;1;0
56;0;33;9;177790;6;12;12;3;10;8;8;4;2;3;5;0;1;0;1
57;0;39;1;177790;1;22;21;5;20;9;10;3;1;3;9;0;0;0;1
58;0;43;7;24390;0;15;9;2;8;1;7;3;4;3;6;0;1;0;0
59;0;49;1;73140;7;22;25;2;7;0;7;3;3;3;8;0;0;0;0
60;0;52;7;47740;2;18;11;2;8;7;7;3;2;2;6;0;0;0;1
61;1;27;15;39020;1;22;4;2;4;1;2;3;2;2;9;0;0;0;0
62;0;32;1;26620;1;11;13;5;13;9;9;3;2;3;9;0;0;0;1
63;1;27;13;28560;1;12;5;5;5;0;4;4;3;3;8;0;0;0;0
64;1;31;24;20976;4;11;13;4;7;1;7;4;4;3;5;0;0;1;0
65;0;32;7;24720;7;13;10;2;7;0;7;1;4;2;6;0;0;0;0
66;1;28;9;56730;5;14;5;4;3;2;2;1;4;2;9;0;0;0;1
67;1;30;13;41970;1;13;11;3;10;1;9;4;4;3;5;0;0;0;1
68;0;31;2;97130;1;17;10;5;10;8;9;3;3;3;5;0;1;0;1
69;1;39;19;20976;1;13;21;4;20;9;3;3;4;3;5;0;1;0;1
70;0;39;1;42840;4;17;12;1;1;0;0;4;3;2;8;0;0;0;1
71;0;33;4;47880;3;11;9;1;7;0;1;2;4;2;6;0;1;0;0
72;0;47;4;59060;4;22;21;4;3;1;1;4;3;3;5;0;0;0;1
73;0;43;14;38860;1;17;9;2;9;0;0;3;3;4;5;0;1;1;0
74;0;27;2;168230;0;17;6;3;5;1;4;3;2;3;7;1;0;0;1
75;0;54;1;29330;3;12;20;2;4;0;3;4;3;2;5;0;1;0;0
76;0;43;7;65000;8;22;10;3;1;0;0;3;1;2;6;0;0;0;1
77;0;45;3;171740;8;14;12;5;10;9;8;4;4;3;6;0;0;0;1
78;1;40;2;50330;2;14;6;5;4;0;2;2;4;2;8;0;0;0;1
79;1;29;26;23070;1;13;7;1;7;0;7;2;1;2;8;0;0;0;1
80;0;29;8;25870;0;22;4;3;3;2;2;2;4;3;5;0;0;0;0
81;0;30;10;55070;1;12;10;2;10;1;2;4;3;3;6;0;0;1;0
82;0;27;11;43930;1;18;8;2;8;0;7;2;2;3;5;0;0;0;1
83;0;37;1;133480;7;14;8;4;6;0;4;4;4;2;5;0;0;1;0
84;1;38;26;65830;0;12;12;1;11;2;9;3;4;3;7;0;0;1;0
85;1;31;6;81030;1;15;11;5;11;4;10;3;4;3;9;0;0;0;0
86;0;29;3;39780;1;11;7;1;7;1;7;4;2;3;7;0;0;1;0
87;0;35;16;25440;0;13;17;3;16;0;10;3;2;3;6;0;0;0;0
88;1;24;20;53990;1;22;4;2;4;0;2;3;4;2;6;0;0;1;0
89;0;41;9;54870;6;19;8;1;5;1;2;4;2;3;8;0;0;0;0
90;0;47;1;68340;3;16;5;2;1;0;0;2;3;3;6;0;1;0;0
91;0;42;3;20976;2;22;16;1;1;0;0;1;4;3;5;0;0;0;0
92;0;29;22;57360;1;22;4;1;4;0;2;4;3;2;5;1;0;0;1
93;0;42;7;22260;0;12;4;3;3;1;0;3;3;3;7;0;0;1;0
94;0;32;2;57470;1;13;8;1;8;0;7;3;2;3;6;0;0;0;1
95;0;48;13;98540;3;16;15;2;1;0;0;1;3;1;6;0;0;0;1
96;0;37;8;54670;4;12;13;2;7;6;7;3;1;3;9;0;0;1;0
97;1;30;25;53800;7;21;4;1;2;2;2;4;3;4;9;1;0;0;1
98;0;26;26;51510;1;15;8;3;8;7;7;3;3;3;5;0;0;0;1
99;0;42;2;21330;3;13;14;2;1;0;0;1;4;3;5;0;0;0;0
100;0;24;9;177790;1;12;3;5;3;1;2;1;2;3;7;0;1;0;0
101;1;36;26;24320;4;22;7;4;1;0;0;4;4;3;6;1;0;0;0
102;0;36;6;47710;4;13;16;2;13;1;10;1;4;3;6;0;1;0;1
103;0;54;21;177790;2;18;15;2;3;1;2;4;3;3;5;0;0;0;1
104;0;40;8;50870;3;14;10;3;7;1;7;4;3;3;6;0;0;0;1
105;0;24;1;28630;1;14;3;2;3;2;2;1;4;2;6;1;0;0;0
106;1;33;26;55610;1;21;1;3;1;0;0;4;3;3;8;0;0;0;0
107;0;37;5;21440;6;19;17;3;5;0;3;3;1;3;6;0;0;0;1
108;0;46;2;30650;2;11;7;3;1;0;0;3;3;4;5;1;0;0;1
109;0;41;16;28100;1;11;8;3;8;7;7;1;2;3;6;0;1;0;0
110;0;50;9;98880;6;15;20;2;4;1;3;4;4;3;5;0;0;0;0
111;0;40;8;86280;2;20;8;2;6;1;0;3;3;3;7;0;0;0;1
112;0;31;1;28670;0;22;3;5;2;2;2;3;2;3;9;0;0;0;0
113;0;24;10;53730;1;12;1;2;1;0;0;3;2;3;5;0;0;0;0
114;0;29;1;66670;8;12;6;5;3;1;2;4;4;3;6;0;0;0;0
115;0;35;26;50030;8;15;10;2;1;0;0;3;2;3;6;0;0;0;0
116;0;27;2;23670;3;12;5;2;5;0;4;4;2;3;5;0;0;1;0
117;0;28;2;28580;1;12;7;2;7;0;7;2;4;3;5;0;0;0;0
118;0;49;2;52040;8;14;26;3;5;0;0;2;3;3;6;0;0;0;0
119;0;51;1;41050;4;22;18;2;7;0;7;3;4;2;6;0;0;0;1
120;0;36;15;96790;4;12;6;1;2;2;2;4;3;3;5;0;0;0;1
121;1;34;7;56170;8;22;9;3;5;0;4;1;4;2;7;1;0;0;0
122;0;54;26;104480;2;13;28;3;5;1;2;3;4;3;7;0;0;0;0
123;0;24;1;28970;1;18;5;4;5;0;3;4;3;4;8;0;0;1;0
124;0;30;3;59680;1;13;1;3;1;0;0;3;2;3;5;0;0;0;1
125;0;26;14;75100;0;18;7;3;6;0;4;3;4;3;5;0;1;0;0
126;0;24;16;29910;1;19;2;3;2;1;2;1;2;3;5;0;0;0;1
127;0;36;1;177790;1;12;10;3;10;9;0;2;3;3;5;0;0;0;1
128;1;30;3;20976;8;19;3;2;1;0;0;3;4;3;7;0;1;0;0
129;0;37;10;133410;1;14;18;3;18;9;10;4;1;2;5;0;0;1;0
130;0;40;6;43320;7;14;8;3;5;1;3;4;2;3;5;0;0;1;0
131;0;42;2;110310;3;12;8;2;5;1;2;2;1;3;6;0;0;1;0
132;0;37;9;44400;2;11;18;3;1;0;1;3;2;2;8;0;0;0;0
133;0;43;10;46170;1;11;25;2;20;3;9;1;2;3;6;0;0;1;0
134;0;40;6;26470;6;13;20;2;1;0;0;2;3;3;6;0;0;0;1
135;0;54;9;63230;4;22;24;2;4;1;2;1;1;2;5;0;0;0;1
136;0;34;26;56770;8;20;6;3;3;1;2;3;3;3;5;1;0;0;1
137;0;31;10;21870;1;15;13;2;13;3;10;2;1;1;5;0;0;0;1
138;0;43;14;37480;7;14;11;3;3;1;2;4;4;3;6;0;1;0;1
139;0;43;26;39770;4;18;8;3;5;0;2;3;3;3;7;0;0;1;0
140;1;25;7;86330;1;19;5;2;5;1;3;2;4;3;9;0;0;0;0
141;0;37;1;20976;3;22;15;5;13;9;7;2;3;3;9;1;0;0;1
142;0;31;24;44400;1;13;4;2;4;3;2;4;1;3;5;0;0;0;1
143;1;39;26;30670;1;20;21;5;20;1;6;2;3;3;8;0;1;1;0
144;0;54;20;53210;8;14;28;1;7;7;7;3;1;2;6;0;1;0;1
145;0;30;5;54100;0;17;6;2;5;4;4;2;3;3;6;0;0;0;0
146;0;41;7;27820;1;14;10;2;10;0;7;2;1;3;5;0;0;0;1
147;0;28;7;119570;1;13;10;2;10;1;8;3;1;3;5;0;0;1;0
148;0;25;5;26600;5;13;6;3;2;0;2;1;1;3;5;0;0;0;1
149;0;52;26;33750;2;21;28;2;5;0;4;4;3;3;7;0;0;0;1
150;0;45;2;50980;3;14;8;4;2;0;2;1;4;2;5;0;0;0;1
151;0;52;12;48780;2;11;28;3;5;1;4;4;4;1;6;0;0;0;1
152;0;42;10;28370;2;13;19;1;5;0;2;1;3;3;5;0;1;1;0
153;1;30;25;24060;2;20;11;5;5;0;2;3;4;3;6;0;0;0;0
154;0;54;10;22690;5;18;28;4;20;9;10;1;1;1;5;0;0;0;1
155;0;46;19;41080;2;14;19;5;10;0;8;3;3;2;6;0;0;1;0
156;0;42;18;132060;0;13;7;2;6;0;4;4;4;4;5;0;1;0;1
157;0;24;26;104220;1;17;6;1;5;1;4;1;2;3;9;0;0;0;0
158;0;34;5;137440;0;20;3;3;2;1;0;4;3;2;5;0;1;1;0
159;1;38;3;49070;1;11;1;3;1;0;0;4;4;3;7;0;1;0;1
160;0;40;26;34820;0;18;21;2;20;1;10;3;3;3;5;0;0;0;1
161;0;26;3;24360;1;22;3;2;3;0;2;1;4;1;5;0;0;1;0
162;1;30;15;23800;4;18;9;2;5;1;4;3;4;1;6;1;0;0;1
163;0;29;8;177790;1;11;10;3;10;0;7;2;3;3;6;0;0;0;1
164;0;29;19;20976;5;16;6;4;2;1;1;3;2;4;5;0;0;0;1
165;0;24;4;76440;1;15;1;2;1;0;0;1;4;4;6;0;0;0;0
166;0;30;2;51310;0;15;10;2;9;7;8;3;1;3;5;1;0;0;1
167;0;54;2;63060;3;12;28;3;1;0;0;1;4;2;5;0;0;1;0
168;0;50;10;47870;0;12;28;3;20;9;7;2;3;3;6;0;0;0;1
169;0;30;10;177790;0;22;12;3;11;6;7;3;4;2;5;1;0;0;0
170;0;54;16;23390;4;20;22;4;18;9;10;3;1;4;6;0;1;0;1
171;0;47;1;135700;5;16;20;2;5;0;4;1;4;3;6;0;0;1;0
172;0;46;4;67120;6;21;26;3;3;0;1;1;3;1;5;0;0;0;1
173;0;35;15;54060;0;12;6;2;5;4;3;4;3;3;5;0;0;0;0
174;0;54;2;89380;7;11;19;2;1;0;0;3;3;3;6;0;0;0;0
175;0;34;8;24390;3;11;14;2;7;5;7;4;3;3;6;0;0;1;0
176;0;46;2;88370;2;18;15;3;3;1;2;3;4;3;7;0;0;0;1
177;0;31;7;53430;1;14;13;3;13;0;8;3;2;4;5;0;0;1;0
178;0;33;10;67280;7;22;15;2;7;7;7;2;3;4;7;0;0;0;1
179;0;33;5;66520;7;22;8;5;4;1;3;1;4;3;6;0;0;1;0
180;0;30;2;48500;0;12;4;4;3;1;2;4;2;3;5;0;0;0;0
181;1;35;12;28090;4;22;10;2;8;0;0;4;3;3;7;0;0;0;1
182;0;31;22;56890;3;15;12;2;1;0;0;1;3;3;5;0;1;0;1
183;1;34;17;20976;8;22;11;5;3;0;2;2;1;3;9;0;1;1;0
184;0;42;2;29770;4;15;8;3;2;2;0;2;3;3;6;0;1;0;1
185;0;36;3;40250;1;11;10;3;10;9;7;2;4;2;6;1;0;0;0
186;0;24;7;37850;5;13;4;2;2;1;2;3;3;3;5;0;1;0;0
187;0;48;6;108540;2;14;14;5;9;6;7;2;4;3;5;0;0;0;1
188;0;54;1;120310;3;11;28;5;10;7;7;1;2;3;6;0;0;0;0
189;0;41;3;99360;7;17;16;2;14;1;10;4;4;3;5;1;0;0;0
190;0;35;22;29660;8;18;15;2;11;6;9;2;3;3;5;0;0;0;1
191;0;40;15;25710;7;14;22;1;20;5;10;2;3;3;6;0;0;0;0
192;0;39;12;99910;1;16;8;3;8;0;7;3;3;3;6;0;1;0;1
193;1;31;1;61420;4;13;10;2;6;0;5;2;4;4;7;0;0;0;0
194;0;42;5;53900;1;14;10;3;10;5;8;4;1;2;9;0;0;0;1
195;0;45;2;44040;0;22;9;2;8;3;7;4;2;4;6;0;0;0;1
196;0;26;2;59930;0;12;8;3;7;1;0;3;3;2;8;0;1;1;0
197;0;29;5;51300;4;11;8;3;3;1;2;4;4;4;6;0;0;1;0
198;0;33;16;20976;4;16;10;2;6;0;5;1;3;3;6;0;0;1;0
199;0;31;2;29090;8;14;10;2;5;0;1;3;4;2;5;0;0;1;0
200;0;24;2;34680;1;18;1;4;1;0;0;2;2;3;8;0;1;0;0
201;0;40;1;30680;3;19;20;3;1;0;1;3;1;3;5;1;0;1;0
202;0;41;23;26700;2;15;10;2;8;0;7;1;3;3;7;1;0;0;0
203;0;26;9;26930;5;17;8;3;1;0;0;1;3;3;5;0;0;1;0
204;0;35;16;95260;1;15;5;2;5;0;3;1;3;3;5;0;0;0;0
205;1;34;26;52370;1;19;10;3;10;5;7;4;4;3;5;0;0;0;0
206;1;26;1;24260;1;22;1;3;1;0;0;3;4;1;7;0;0;0;0
207;0;37;8;41930;4;16;12;5;6;1;2;2;4;4;6;0;0;0;0
208;0;46;4;29110;5;13;28;3;2;1;2;1;3;2;5;0;1;0;1
209;0;41;24;26610;7;14;22;2;18;9;8;2;1;3;6;0;0;0;1
210;0;37;7;20976;1;16;9;3;9;7;7;1;2;3;6;1;0;1;0
211;0;52;2;99800;3;11;18;2;10;6;9;4;1;3;8;0;0;1;0
212;0;32;7;32980;8;22;6;4;4;1;2;4;3;3;5;1;0;0;1
213;1;24;22;29350;0;14;3;5;2;2;1;4;4;3;5;0;1;0;1
214;0;38;5;154270;3;16;18;2;1;0;0;3;3;3;5;0;0;0;1
215;0;37;1;39440;6;11;8;3;6;4;3;2;2;2;5;0;0;0;1
216;0;49;21;40110;1;18;28;2;20;0;9;4;3;3;9;0;0;1;0
217;1;24;1;34070;1;15;6;2;6;1;4;2;4;3;7;0;0;0;1
218;0;26;19;119940;1;14;6;5;5;1;4;1;2;4;6;0;0;0;1
219;0;24;7;20976;1;12;1;4;1;0;0;4;2;3;5;0;0;0;1
220;0;50;2;29600;1;14;28;2;20;9;7;1;2;3;5;0;1;0;1
221;0;25;2;177790;1;16;7;3;7;0;6;2;3;3;6;0;0;0;1
222;0;24;2;39190;1;21;6;3;6;1;2;1;3;3;9;0;1;0;1
223;0;30;9;68250;1;14;1;2;1;0;0;2;1;4;5;0;1;0;1
224;1;34;6;102480;1;12;6;4;6;1;3;2;4;3;7;0;0;0;1
225;0;31;9;177790;2;12;9;2;3;1;2;2;1;1;5;0;0;1;0
226;0;35;2;24960;4;17;9;3;3;0;2;1;4;3;6;0;0;0;0
227;0;31;1;64650;4;17;13;3;7;5;7;1;4;4;5;0;0;1;0
228;0;27;22;22060;0;14;6;4;5;0;3;1;3;2;6;0;0;1;0
229;0;37;9;20976;4;14;17;3;3;1;0;4;3;2;7;0;0;0;1
230;0;24;17;22930;1;13;1;3;1;0;0;4;2;4;6;0;0;0;0
231;0;42;26;26450;1;15;10;5;10;2;2;3;4;3;6;0;0;0;1
232;1;43;10;26830;4;11;21;3;1;0;0;2;4;2;7;0;0;1;0
233;0;38;2;20976;3;17;8;5;1;0;0;3;1;2;5;0;0;0;0
234;0;43;4;34190;3;11;10;5;8;4;7;4;3;3;8;0;1;1;0
235;0;48;8;53760;7;13;21;3;3;0;2;4;1;1;5;0;0;0;1
236;0;44;26;20976;4;22;10;4;2;0;2;1;3;4;5;0;0;0;0
237;1;34;13;23410;1;20;8;3;8;0;6;3;3;3;7;0;0;1;0
238;0;27;26;22930;0;18;5;1;4;0;2;3;1;3;5;0;0;1;0
239;0;24;16;87260;1;11;3;2;3;1;2;3;3;3;5;0;0;0;0
240;0;44;2;40110;4;14;26;2;2;0;1;4;4;4;7;0;0;0;1
241;0;24;2;177790;0;14;3;3;2;2;2;1;3;3;5;0;0;0;1
242;0;33;13;45680;0;18;6;2;5;1;2;3;3;3;6;0;0;1;0
243;1;32;1;30220;1;16;6;3;6;0;5;1;4;2;8;0;0;0;1
244;0;30;4;57720;1;17;1;3;1;0;0;3;3;3;6;0;1;1;0
245;0;53;24;22690;7;11;18;2;14;8;10;4;1;4;6;0;0;0;0
246;0;34;1;53810;1;12;10;1;10;8;8;2;4;2;6;0;0;0;1
247;0;45;19;34410;2;13;5;5;1;0;0;1;1;3;6;0;1;0;1
248;1;26;7;54540;1;13;3;5;3;0;2;3;4;3;8;0;0;0;1
249;0;37;4;98840;1;14;10;3;10;7;8;3;3;3;5;0;0;0;1
250;0;29;2;41570;1;17;6;2;6;1;2;2;3;2;5;0;0;0;1
251;0;35;10;134580;1;11;17;3;17;9;8;2;4;3;5;0;0;0;0
252;0;33;8;90690;3;22;15;3;13;4;7;3;4;1;6;0;1;1;0
253;0;54;5;40140;2;19;16;4;9;7;1;3;2;4;5;0;0;0;1
254;0;36;8;59150;2;13;13;3;3;0;2;2;2;3;9;0;0;1;0
255;0;27;9;59930;0;14;5;3;4;1;1;1;4;3;5;0;0;0;0
256;0;24;1;61620;1;12;1;2;1;1;1;4;3;3;7;0;0;0;0
257;1;33;15;24060;1;11;10;3;10;9;7;1;1;3;9;0;1;0;0
258;0;35;2;177790;1;19;1;2;1;0;0;3;3;3;5;1;0;0;1
259;0;24;2;76370;2;11;5;3;3;0;2;1;1;4;5;0;0;0;1
260;0;25;11;100960;0;11;4;3;3;1;2;4;2;3;6;0;0;0;1
261;0;38;16;147560;0;20;8;3;7;0;5;4;4;3;5;0;0;0;0
262;0;29;2;64990;1;18;10;3;10;2;8;2;4;3;6;0;1;1;0
263;0;48;16;97240;3;13;12;2;2;2;2;2;2;3;5;0;0;0;1
264;1;27;4;21940;1;12;6;5;6;0;4;4;4;3;7;0;1;1;0
265;1;37;16;33880;3;11;4;2;1;0;0;4;4;3;6;0;0;0;0
266;0;50;5;54730;1;19;20;2;20;3;8;4;3;3;8;0;0;0;1
267;0;34;18;27030;1;21;9;2;8;7;7;4;2;4;5;0;0;0;0
268;0;24;17;25010;8;12;4;3;2;2;0;1;3;3;6;0;0;0;0
269;0;39;12;62200;1;14;20;2;20;9;10;4;3;3;5;0;0;0;0
270;0;32;2;30380;1;11;10;5;10;0;8;4;4;2;6;0;0;0;0
271;0;50;4;44240;3;14;18;2;4;1;3;2;3;3;7;0;1;0;1
272;0;38;9;43120;0;12;10;2;9;1;8;2;4;2;6;0;0;0;0
273;0;27;10;132450;1;22;9;3;9;0;7;3;1;3;5;0;0;0;1
274;0;32;1;136640;3;14;10;5;7;7;7;3;4;3;6;0;0;0;0
275;0;47;2;50210;2;17;20;3;7;1;7;4;1;3;5;0;0;0;0
276;0;40;3;51260;5;18;20;2;18;1;10;4;1;3;7;0;1;0;1
277;0;53;7;28590;3;18;28;2;5;1;3;3;3;3;5;0;0;0;1
278;0;41;6;102390;3;22;23;3;20;9;6;2;4;2;6;0;0;1;0
279;0;54;8;53290;8;20;10;3;2;2;2;1;1;3;5;0;0;0;0
280;0;27;26;43250;1;14;9;2;9;1;7;4;1;2;6;0;1;1;0
281;0;41;3;72600;1;16;22;2;20;2;10;4;3;3;5;0;0;0;1
282;0;50;9;23220;7;22;4;1;2;2;2;4;2;3;6;0;0;0;1
283;0;28;2;20976;7;18;10;1;7;3;7;1;2;3;6;0;0;0;0
284;0;36;10;41520;8;19;10;3;8;0;5;1;1;3;5;1;0;0;1
285;0;38;1;96190;4;13;10;2;1;0;0;3;3;4;8;0;0;0;0
286;0;44;8;135030;2;12;9;5;5;1;4;1;3;3;5;1;0;0;0
287;0;47;26;54410;8;22;28;5;20;9;10;4;3;2;6;0;1;1;0
288;0;30;8;52090;7;14;10;3;8;7;7;3;4;2;6;0;0;1;0
289;0;29;1;106730;1;13;1;2;1;0;0;3;3;3;5;0;0;0;0
290;0;42;10;50100;6;21;7;3;2;2;2;3;3;3;8;0;1;1;0
291;0;43;26;135490;3;11;7;3;2;2;2;4;4;3;6;0;1;0;1
292;0;34;2;49990;3;12;10;2;5;4;3;2;3;3;5;0;0;0;0
293;0;24;13;42210;1;11;5;4;4;0;2;2;1;4;6;0;0;0;1
294;0;39;2;138720;8;12;12;3;8;3;6;3;2;1;5;0;0;0;1
295;0;54;2;20976;7;12;28;5;10;1;1;3;4;2;5;0;0;0;1
296;1;40;9;20976;0;14;5;3;4;2;3;4;4;2;7;0;0;0;0
297;0;27;10;29560;8;13;9;5;7;0;7;4;1;1;6;0;0;0;0
298;0;29;20;29260;1;15;2;3;2;2;2;4;2;3;5;0;0;1;0
299;0;53;9;48090;2;18;19;2;2;2;2;4;4;3;5;0;0;0;0
300;0;35;5;51630;2;18;16;4;1;0;0;4;1;4;5;1;0;1;0
301;0;32;4;177790;1;19;10;3;10;4;7;3;4;3;6;0;1;0;1
302;0;38;10;177790;6;12;6;5;1;0;1;4;3;1;9;0;0;0;1
303;0;34;20;57440;3;19;7;4;1;0;0;2;1;3;5;0;0;1;0
304;0;52;21;28890;1;11;28;2;20;1;10;3;1;4;5;0;0;0;1
305;1;33;1;28710;1;17;10;2;10;7;8;4;4;2;8;0;0;0;0
306;0;25;8;74840;1;15;6;3;6;1;4;3;4;2;6;0;0;0;0
307;0;45;2;60740;0;14;9;2;8;3;1;2;3;3;5;0;0;0;0
308;0;24;23;173280;1;17;2;2;2;0;2;1;3;3;6;0;0;0;0
309;0;47;4;27740;4;13;11;2;5;1;3;2;3;3;8;0;1;0;0
310;1;34;12;45050;1;12;6;3;6;1;4;4;4;3;6;0;0;0;0
311;0;54;7;74280;5;12;24;2;5;1;4;4;1;3;6;0;0;0;1
312;0;36;7;116310;1;18;10;2;10;0;9;1;1;3;6;1;0;0;0
313;0;52;1;97380;0;18;5;2;4;1;2;4;4;3;6;1;0;0;1
314;0;26;2;28350;3;11;5;2;2;2;0;1;4;3;5;0;1;1;0
315;0;29;10;169590;4;14;11;5;8;1;1;2;3;2;5;0;0;0;1
316;0;26;15;26130;6;19;6;2;4;1;2;4;1;2;5;0;0;0;0
317;1;34;14;61460;2;12;10;3;4;1;3;2;4;3;5;0;0;0;0
318;0;54;18;49630;8;15;9;2;5;1;4;4;1;3;7;0;0;1;0
319;0;27;13;177790;0;12;5;5;4;1;1;3;4;3;5;0;1;0;1
320;0;37;2;61720;0;11;6;1;5;4;3;4;1;2;8;0;0;1;0
321;0;38;2;23680;6;11;17;3;15;4;10;1;1;3;9;0;1;0;0
322;0;34;2;103120;1;12;6;2;6;1;3;3;1;3;5;0;0;0;0
323;0;35;5;20976;1;16;3;5;3;0;2;1;4;2;6;0;0;0;1
324;0;30;20;25230;3;13;7;2;2;0;2;4;3;3;5;0;0;0;1
325;0;40;10;65670;1;13;8;3;8;3;7;3;2;3;5;0;1;0;1
326;0;34;10;47390;5;22;6;2;3;1;2;3;1;3;6;0;0;0;1
327;0;42;9;92080;1;15;24;2;20;9;9;2;4;2;6;0;1;1;0
328;0;24;2;45590;1;18;1;2;1;0;0;3;1;3;6;0;0;0;1
329;0;24;1;81890;1;14;1;3;1;0;0;3;2;3;5;1;0;1;0
330;0;52;26;29420;8;11;9;1;5;1;4;4;3;3;5;0;0;0;1
331;0;50;8;49410;5;11;28;3;4;0;3;3;3;3;5;0;0;0;1
332;0;29;2;106500;1;13;1;2;1;0;0;2;1;3;9;0;0;0;1
